m,r,rho,T,P,l,epsilon,kappa,grad_ad,grad_rad,grad_act,nature
3.9626689068972874e+33,77892779169.729,0.02594153336908388,1895670.0674533176,6605072856825.732,5.776294058416471e+34,2.982615751096682e-08,7.967750369271227,0.4,0.23420881948591274,0.23420881948591274,RAD
3.963196451723902e+33,78163333311.70624,0.025035278690934856,1875177.003559379,6305510373768.21,5.7762940584179485e+34,2.6253891653635152e-08,7.990356706380967,0.4,0.2341533899094317,0.2341533899094317,RAD
3.963689824697132e+33,78423589864.36278,0.024190019940386956,1855599.9084188056,6029096947442.205,5.776294058419168e+34,2.3203056073245537e-08,8.01210560428978,0.4,0.23409417765163992,0.23409417765163992,RAD
3.964183197670362e+33,78691283320.7711,0.02334695842257668,1835601.6975953013,5756345559976.351,5.776294058420243e+34,2.0417213863924017e-08,8.03446978068422,0.4,0.23402662584308523,0.23402662584308523,RAD
3.9646765706435925e+33,78966900359.04797,0.022506072038546772,1815157.2974322618,5487300358249.334,5.776294058421187e+34,1.788169505738278e-08,8.05747819758589,0.4,0.23394930260061245,0.23394930260061245,RAD
3.965169943616823e+33,79250979074.41962,0.02166733470173898,1794239.1963344265,5222008234032.252,5.776294058422011e+34,1.558214667809039e-08,8.081160380822162,0.4,0.23386047339462213,0.23386047339462213,RAD
3.9655755647142555e+33,79491287966.39186,0.02097936431883677,1776665.5575425376,5006747486628.444,5.776294058422608e+34,1.3858449225254436e-08,8.101155948110966,0.4,0.23377734908565667,0.23377734908565667,RAD
3.965981185811688e+33,79738084558.5191,0.020292805970138585,1758732.9224259118,4794086578440.721,5.776294058423138e+34,1.2277124101628518e-08,8.121643039378691,0.4,0.23368361292397388,0.23368361292397388,RAD
3.966386806909121e+33,79991770018.20027,0.019607636926670693,1740421.2735479146,4584056580661.932,5.776294058423606e+34,1.083068905562709e-08,8.142637022746722,0.4,0.23357758232619324,0.23357758232619324,RAD
3.9667924280065536e+33,80252785511.2267,0.018923831126698223,1721708.787069175,4376690376769.7344,5.776294058424018e+34,9.511814223996666e-09,8.164151937551422,0.4,0.2334572440670582,0.2334572440670582,RAD
3.9671727166918765e+33,80504589580.96455,0.018283942956206247,1703779.7047216967,4184725320491.816,5.776294058424359e+34,8.384782954968076e-09,8.184806946783478,0.4,0.23332927799303643,0.23332927799303643,RAD
3.9675530053771994e+33,80763706845.02805,0.017645198570683175,1685455.857705823,3995162823130.449,5.776294058424658e+34,7.357779283521736e-09,8.205937591367563,0.4,0.23318420845607096,0.23318420845607096,RAD
3.9679332940625223e+33,81030626124.75461,0.017007565710459027,1666713.7744905292,3808035202631.923,5.7762940584249195e+34,6.4251373105661615e-09,8.227547508522047,0.4,0.23301914448285133,0.23301914448285133,RAD
3.968313582747845e+33,81305889132.30324,0.01637100742702338,1647527.7420994828,3623376807942.9707,5.776294058425147e+34,5.5813153858917705e-09,8.249635221470344,0.4,0.23283058458234535,0.23283058458234535,RAD
3.9686272928902145e+33,81539666355.70372,0.015846672712613752,1631346.5776201468,3472931722446.394,5.776294058425312e+34,4.948238202341064e-09,8.268209759914845,0.4,0.23265435313285623,0.23265435313285623,RAD
3.968941003032584e+33,81779904453.29993,0.015323013403154704,1614826.823211357,3324213609688.7197,5.776294058425458e+34,4.368941114345816e-09,8.287093933441414,0.4,0.23245636057384433,0.23245636057384433,RAD
3.969254713174953e+33,82027014626.74232,0.014799998976606372,1597949.6902489418,3177245525565.385,5.776294058425586e+34,3.8405095849797445e-09,8.306271908709405,0.4,0.23223317255549716,0.23223317255549716,RAD
3.9695684233173223e+33,82281450414.49593,0.01427759494087401,1580694.7439127208,3032051900325.802,5.776294058425699e+34,3.360089998830624e-09,8.325719944052498,0.4,0.23198067697119176,0.23198067697119176,RAD
3.9698734222762913e+33,82536320786.63261,0.013770245250032263,1563535.572534446,2892615910361.4443,5.776294058425795e+34,2.9363892354157394e-09,8.344854525317201,0.4,0.2317023968856435,0.2317023968856435,RAD
3.9701784212352603e+33,82799101774.64455,0.013263394790220852,1545975.906985333,2754907058951.0747,5.776294058425879e+34,2.552923066908023e-09,8.36416847474384,0.4,0.23138623782000128,0.23138623782000128,RAD
